ID,Distance,Layer,Type,Method
51,0.9738646939622548,dense3,random,SaSD
52,0.7067246453505645,conv1,random,SaSD
52,0.8704877136428548,conv2,random,SaSD
52,0.969581037221073,dense1,random,SaSD
52,0.8957754108119296,dense2,random,SaSD
52,0.958239692638189,dense3,random,SaSD
53,0.7104945580359183,conv1,random,SaSD
53,0.870802947118286,conv2,random,SaSD
53,0.9696158062441889,dense1,random,SaSD
53,0.8944547340173946,dense2,random,SaSD
53,0.9886861861861862,dense3,random,SaSD
54,0.6942655039507062,conv1,random,SaSD
54,0.8714331965449849,conv2,random,SaSD
54,0.9694457836426036,dense1,random,SaSD
54,0.8938218058910121,dense2,random,SaSD
54,0.9786987677841639,dense3,random,SaSD
55,0.699205412481825,conv1,random,SaSD
55,0.8700908446654922,conv2,random,SaSD
55,0.9695660701009869,dense1,random,SaSD
55,0.8933443129373662,dense2,random,SaSD
55,0.9757510765288699,dense3,random,SaSD
56,0.7067190217816669,conv1,random,SaSD
56,0.8703460027306907,conv2,random,SaSD
56,0.9694641546898912,dense1,random,SaSD
56,0.8956355174002697,dense2,random,SaSD
56,0.9771129960252024,dense3,random,SaSD
57,0.7116621187737915,conv1,random,SaSD
57,0.8700947195850919,conv2,random,SaSD
57,0.969581410322611,dense1,random,SaSD
57,0.8943012587472592,dense2,random,SaSD
57,0.9796098901098901,dense3,random,SaSD
58,0.7077774277343744,conv1,random,SaSD
58,0.8711508437672101,conv2,random,SaSD
58,0.9696236575412573,dense1,random,SaSD
58,0.8940309200184082,dense2,random,SaSD
58,0.9788915541822518,dense3,random,SaSD
59,0.7112942285397781,conv1,random,SaSD
59,0.8716063100987714,conv2,random,SaSD
59,0.9695409884647191,dense1,random,SaSD
59,0.894897047199003,dense2,random,SaSD
59,0.9860953177257524,dense3,random,SaSD
60,0.6968047215646626,conv1,random,SaSD
60,0.8708634075984161,conv2,random,SaSD
60,0.9696562545565648,dense1,random,SaSD
60,0.8945452644507064,dense2,random,SaSD
60,0.9809183463595229,dense3,random,SaSD
61,0.7029878962438705,conv1,mixed,SaSD
61,0.8710414094615101,conv2,mixed,SaSD
61,0.9715489989201396,dense1,mixed,SaSD
61,0.8936849744267634,dense2,mixed,SaSD
61,0.9796643565945891,dense3,mixed,SaSD
62,0.7028666611623027,conv1,mixed,SaSD
62,0.8690067761307687,conv2,mixed,SaSD
62,0.9717916013948904,dense1,mixed,SaSD
62,0.8942435419773638,dense2,mixed,SaSD
62,0.9880898360478622,dense3,mixed,SaSD
63,0.7141137189505755,conv1,mixed,SaSD
63,0.8728069149588824,conv2,mixed,SaSD
63,0.9717301835328438,dense1,mixed,SaSD
63,0.895368561511648,dense2,mixed,SaSD
63,0.9791750049188656,dense3,mixed,SaSD
64,0.717346954999335,conv1,mixed,SaSD
64,0.8715015392524954,conv2,mixed,SaSD
64,0.9718259341006024,dense1,mixed,SaSD
64,0.8946819200182722,dense2,mixed,SaSD
64,0.973960288075916,dense3,mixed,SaSD
65,0.7070096319068359,conv1,mixed,SaSD
65,0.8698515889381546,conv2,mixed,SaSD
65,0.972331029838378,dense1,mixed,SaSD
65,0.8978831040467482,dense2,mixed,SaSD
65,0.9721796271017077,dense3,mixed,SaSD
66,0.7141269758578195,conv1,mixed,SaSD
66,0.8728783572729875,conv2,mixed,SaSD
66,0.9721828428807533,dense1,mixed,SaSD
66,0.8953094264034345,dense2,mixed,SaSD
66,0.982093003396195,dense3,mixed,SaSD
67,0.70775326720869,conv1,mixed,SaSD
67,0.8729514145512404,conv2,mixed,SaSD
67,0.9722773264763689,dense1,mixed,SaSD
67,0.8953770522690429,dense2,mixed,SaSD
67,0.9776977271019416,dense3,mixed,SaSD
68,0.7137260568217902,conv1,mixed,SaSD
68,0.87073417684179,conv2,mixed,SaSD
68,0.9714112810430593,dense1,mixed,SaSD
68,0.896515885661195,dense2,mixed,SaSD
68,0.9911724073028421,dense3,mixed,SaSD
69,0.70589471842979,conv1,mixed,SaSD
69,0.8722810426838177,conv2,mixed,SaSD
69,0.9713362472756106,dense1,mixed,SaSD
69,0.8959658994776014,dense2,mixed,SaSD
69,0.972052640192584,dense3,mixed,SaSD
70,0.7208030475179276,conv1,mixed,SaSD
70,0.870315385034622,conv2,mixed,SaSD
70,0.9714195471617507,dense1,mixed,SaSD
70,0.8952714621238168,dense2,mixed,SaSD
70,0.9782907692210017,dense3,mixed,SaSD
71,0.7135598240607433,conv1,mixed,SaSD
71,0.8716436796302328,conv2,mixed,SaSD
71,0.9720597877660604,dense1,mixed,SaSD
71,0.8970391495534356,dense2,mixed,SaSD
71,0.9768187756625608,dense3,mixed,SaSD
72,0.7049924595420919,conv1,mixed,SaSD
72,0.8708148143935412,conv2,mixed,SaSD
72,0.971310791623951,dense1,mixed,SaSD
72,0.8954333012074982,dense2,mixed,SaSD
72,0.9890415762264502,dense3,mixed,SaSD
73,0.7112974390832121,conv1,mixed,SaSD
73,0.8706445063895205,conv2,mixed,SaSD
73,0.9713313376726647,dense1,mixed,SaSD
73,0.8967557235297992,dense2,mixed,SaSD
73,0.9743772650542907,dense3,mixed,SaSD
74,0.7230331279165452,conv1,mixed,SaSD
74,0.8717182941989834,conv2,mixed,SaSD
74,0.9713850691668804,dense1,mixed,SaSD
74,0.8933130584185043,dense2,mixed,SaSD
74,0.9825958640132504,dense3,mixed,SaSD
75,0.7111197804442291,conv1,mixed,SaSD
75,0.8715166754524066,conv2,mixed,SaSD
75,0.9716858166879415,dense1,mixed,SaSD
75,0.8960737659850533,dense2,mixed,SaSD
75,0.9766164826073824,dense3,mixed,SaSD
76,0.7103621319958636,conv1,mixed,SaSD
76,0.8686719705786462,conv2,mixed,SaSD
76,0.9715535422947514,dense1,mixed,SaSD
76,0.8938767021143804,dense2,mixed,SaSD
76,0.9858611976558732,dense3,mixed,SaSD
77,0.6991624414859952,conv1,mixed,SaSD
77,0.8706884112525108,conv2,mixed,SaSD
77,0.9715074218739517,dense1,mixed,SaSD
77,0.8956608795466012,dense2,mixed,SaSD
77,0.9751603384818754,dense3,mixed,SaSD
78,0.694635952793122,conv1,mixed,SaSD
78,0.8702133669008791,conv2,mixed,SaSD
78,0.9714910058155346,dense1,mixed,SaSD
78,0.8968129241187424,dense2,mixed,SaSD
78,0.9736348438804165,dense3,mixed,SaSD
79,0.70789464099497,conv1,mixed,SaSD
79,0.8709563806739731,conv2,mixed,SaSD
79,0.9715231717412705,dense1,mixed,SaSD
79,0.8956595710516388,dense2,mixed,SaSD
79,0.9801874666137562,dense3,mixed,SaSD
80,0.7065512670781876,conv1,mixed,SaSD
80,0.872926573717144,conv2,mixed,SaSD
80,0.9715609468219379,dense1,mixed,SaSD
80,0.8964051810928602,dense2,mixed,SaSD
80,0.9836127261087834,dense3,mixed,SaSD
81,0.7118558107994302,conv1,mixed,SaSD
81,0.871629499122236,conv2,mixed,SaSD
81,0.9714545905696932,dense1,mixed,SaSD
81,0.8950591116529188,dense2,mixed,SaSD
81,0.9779327845284062,dense3,mixed,SaSD
82,0.7041909537803743,conv1,mixed,SaSD
82,0.8728292307085463,conv2,mixed,SaSD
82,0.9714401342844636,dense1,mixed,SaSD
82,0.8965575525359051,dense2,mixed,SaSD
82,0.9714021411513812,dense3,mixed,SaSD
83,0.7114085873277051,conv1,mixed,SaSD
83,0.873510178618422,conv2,mixed,SaSD
83,0.9714599604256982,dense1,mixed,SaSD
83,0.8955107986114837,dense2,mixed,SaSD
83,0.9797983430853655,dense3,mixed,SaSD
84,0.7137084920288046,conv1,mixed,SaSD
84,0.8718496193171806,conv2,mixed,SaSD
84,0.9714719953473481,dense1,mixed,SaSD
84,0.8949734175967873,dense2,mixed,SaSD
84,0.970396445988294,dense3,mixed,SaSD
85,0.7065903935165496,conv1,mixed,SaSD
85,0.8713558905050933,conv2,mixed,SaSD
85,0.9714430900145836,dense1,mixed,SaSD
85,0.8945346472894884,dense2,mixed,SaSD
85,0.972897355893745,dense3,mixed,SaSD
86,0.7133586195795949,conv1,mixed,SaSD
86,0.8716488083067346,conv2,mixed,SaSD
86,0.9713217431416261,dense1,mixed,SaSD
86,0.8956297713519092,dense2,mixed,SaSD
86,0.9784588141083457,dense3,mixed,SaSD
87,0.7252098697870757,conv1,mixed,SaSD
87,0.870490041094191,conv2,mixed,SaSD
87,0.9712975827634471,dense1,mixed,SaSD
87,0.8960397543395566,dense2,mixed,SaSD
87,0.97148406458965475,dense3,mixed,SaSD
88,0.7147599770531756,conv1,mixed,SaSD
88,0.8715824928596427,conv2,mixed,SaSD
88,0.9719623322310825,dense1,mixed,SaSD
88,0.8944350493379782,dense2,mixed,SaSD
88,0.9663689366962209,dense3,mixed,SaSD
89,0.7123389778865785,conv1,mixed,SaSD
89,0.8704334984974905,conv2,mixed,SaSD
89,0.971842994716952,dense1,mixed,SaSD
89,0.896280453705629,dense2,mixed,SaSD
89,0.9759586448150278,dense3,mixed,SaSD
90,0.709076951385388,conv1,mixed,SaSD
90,0.8703410024272571,conv2,mixed,SaSD
90,0.9719039263572137,dense1,mixed,SaSD
90,0.8964473686679963,dense2,mixed,SaSD
90,0.9765470881775229,dense3,mixed,SaSD
91,0.5739059015943206,conv1,WT,NNSTD
91,0.7702499219406186,conv2,WT,NNSTD
91,0.9454258136701184,dense1,WT,NNSTD
91,0.8467995984040873,dense2,WT,NNSTD
91,0.9318906832605112,dense3,WT,NNSTD
92,0.5723175249484992,conv1,WT,NNSTD
92,0.7693803623163222,conv2,WT,NNSTD
92,0.9449200478964597,dense1,WT,NNSTD
92,0.848178295936497,dense2,WT,NNSTD
92,0.9393908844507923,dense3,WT,NNSTD
93,0.5754683824651656,conv1,WT,NNSTD
93,0.7694246357514349,conv2,WT,NNSTD
93,0.9454833171956535,dense1,WT,NNSTD
93,0.8469703559839388,dense2,WT,NNSTD
93,0.9491998297849362,dense3,WT,NNSTD
94,0.5575090631386588,conv1,WT,NNSTD
94,0.769923986843448,conv2,WT,NNSTD
94,0.9452486172966581,dense1,WT,NNSTD
94,0.8488620502675995,dense2,WT,NNSTD
94,0.9567576149165614,dense3,WT,NNSTD
95,0.5775957995742003,conv1,WT,NNSTD
95,0.7707302556248558,conv2,WT,NNSTD
95,0.9454835924177553,dense1,WT,NNSTD
95,0.8482974034150883,dense2,WT,NNSTD
95,0.9614518477200209,dense3,WT,NNSTD
96,0.5755410439233969,conv1,WT,NNSTD
96,0.7704284541023859,conv2,WT,NNSTD
96,0.9451725523199013,dense1,WT,NNSTD
96,0.8458366067392258,dense2,WT,NNSTD
96,0.9555203956275384,dense3,WT,NNSTD
97,0.5678341405514635,conv1,WT,NNSTD
97,0.7687988201282782,conv2,WT,NNSTD
97,0.9452451408985644,dense1,WT,NNSTD
97,0.8466066450636063,dense2,WT,NNSTD
97,0.9327652249790257,dense3,WT,NNSTD
98,0.5778393770133805,conv1,WT,NNSTD
98,0.7704540017966149,conv2,WT,NNSTD
98,0.9449231577855008,dense1,WT,NNSTD
98,0.8457774568697147,dense2,WT,NNSTD
98,0.9563862189678007,dense3,WT,NNSTD
99,0.5718162301342449,conv1,WT,NNSTD
99,0.768109258801478,conv2,WT,NNSTD
99,0.9449102472950911,dense1,WT,NNSTD
99,0.8500917497621767,dense2,WT,NNSTD
99,0.9459542902944493,dense3,WT,NNSTD
100,0.5712126772328978,conv1,WT,NNSTD
100,0.7671597927095988,conv2,WT,NNSTD
100,0.9456062581462954,dense1,WT,NNSTD
100,0.8473132278504973,dense2,WT,NNSTD
100,0.9708616881650156,dense3,WT,NNSTD
101,0.5811705893059897,conv1,WT,NNSTD
101,0.7692637894035438,conv2,WT,NNSTD
